emotion_practice,emotion_comp,file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,istr_loop_practice.thisRepN,istr_loop_practice.thisTrialN,istr_loop_practice.thisN,istr_loop_practice.thisIndex,loop_emotion_identication.thisRepN,loop_emotion_identication.thisTrialN,loop_emotion_identication.thisN,loop_emotion_identication.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,random_by_pt_num.thisRepN,random_by_pt_num.thisTrialN,random_by_pt_num.thisN,random_by_pt_num.thisIndex,loop_itr_exp.thisRepN,loop_itr_exp.thisTrialN,loop_itr_exp.thisN,loop_itr_exp.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,wheelresp_angle,wheelresp_cake,wheelresp_norm,wheelresp_emotion,wheelresp_level,Wheelresp.x,Wheelresp.y,Wheelresp.leftButton,Wheelresp.midButton,Wheelresp.rightButton,Wheelresp.time,Wheelresp.clicked_name,Wheelresp.started,Wheelresp.stopped,file_emotion,wheelresp.x,wheelresp.y,wheelresp.leftButton,wheelresp.midButton,wheelresp.rightButton,wheelresp.time,wheelresp.clicked_name,wheelresp.started,wheelresp.stopped,compound_angle,compound_cake,compound_norm,compound_emotion,compound_level,compound.x,compound.y,compound.leftButton,compound.midButton,compound.rightButton,compound.time,compound.clicked_name,compound.started,compound.stopped,kb_end_training.keys,kb_end_training.rt,participant,session,group,age,gender,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,healthy,24,f,17,1,aurora,2022-03-24_14h32.23.302,pilot_AIM1,2022.1.1,84.80855381084959,
DISPREZZO,INVIDIA,,,,,,,,,0,0,0,0,,,,,0,0,0,5,,,,,,,,,,,,,,,,,121.93844891667189,disprezzo,181.4717608885746,Disprezzo,4,[-96.0],[154.0],[1],[0],[0],[3.01227237652094],['Disprezzo_4'],0.011177756866771915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,healthy,24,f,17,1,aurora,2022-03-24_14h32.23.302,pilot_AIM1,2022.1.1,84.80855381084959,
SPERANZA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,1,1,14,,,,,,,,,,,,,,,,,-32.7352262721076,speranza,199.71980372511885,Speranza,4,[168.0],[-108.0],[1],[0],[0],[1.5498165798475725],['Speranza_4'],0.011190585693668709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,healthy,24,f,17,1,aurora,2022-03-24_14h32.23.302,pilot_AIM1,2022.1.1,84.80855381084959,
INVIDIA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,2,2,7,,,,,,,,,,,,,,,,,167.5119142310515,invidia,152.6106156202772,Invidia,3,[-149.0],[33.0],[1],[0],[0],[4.0349450829993145],['Invidia_3'],0.011179360470123356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,healthy,24,f,17,1,aurora,2022-03-24_14h32.23.302,pilot_AIM1,2022.1.1,84.80855381084959,
ORGOGLIO,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,82.14668669802178,orgoglio,204.92193635626225,Orgoglio,4,[28.0],[203.0],[1],[0],[0],[3.9153252524552613],['Orgoglio_4'],0.011212715420015229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,healthy,24,f,17,1,aurora,2022-03-24_14h32.23.302,pilot_AIM1,2022.1.1,84.80855381084959,
TRISTEZZA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,4,4,11,,,,,,,,,,,,,,,,,-100.87352039525506,tristezza,180.23595645708434,Tristezza,4,[-34.0],[-177.0],[1],[0],[0],[2.2318284477953227],['Tristezza_4'],0.01121207397869739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,healthy,24,f,17,1,aurora,2022-03-24_14h32.23.302,pilot_AIM1,2022.1.1,84.80855381084959,
SOLLIEVO,GIOIA,,,,,,,,,0,0,0,0,,,,,0,5,5,15,,,,,,,,,,,,,,,,,-9.372092708579087,soglievo,104.39348638684312,Sollievo,2,[103.0],[-17.0],[1],[0],[0],[2.4772750160520616],['Sollievo_2'],0.011217846950813737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,healthy,24,f,17,1,aurora,2022-03-24_14h32.23.302,pilot_AIM1,2022.1.1,84.80855381084959,
PAURA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,6,6,10,,,,,,,,,,,,,,,,,-126.65100366014354,paura,209.40152817016403,Paura,4,[-125.0],[-168.0],[1],[0],[0],[2.60722493872629],['Paura_4'],0.011222337040180719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,healthy,24,f,17,1,aurora,2022-03-24_14h32.23.302,pilot_AIM1,2022.1.1,84.80855381084959,
DISGUSTO,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,7,7,6,,,,,,,,,,,,,,,,,144.87405925175742,disgusto,210.2974084481309,Disgusto,4,[-172.0],[121.0],[1],[0],[0],[2.939190719113526],['Disgusto_4'],0.011205338844547441,None,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,healthy,24,f,17,1,aurora,2022-03-24_14h32.23.302,pilot_AIM1,2022.1.1,84.80855381084959,
GIOIA,SODDISFAZIONE,,,,,,,,,0,0,0,0,,,,,0,8,8,2,,,,,,,,,,,,,,,,,29.48712567294147,gioia,193.0,Gioia,4,[168.0],[95.0],[1],[0],[0],[1.3820382953311423],['Gioia_4'],0.011221695598919723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,healthy,24,f,17,1,aurora,2022-03-24_14h32.23.302,pilot_AIM1,2022.1.1,84.80855381084959,
