emotion_practice,emotion_comp,file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,istr_loop_practice.thisRepN,istr_loop_practice.thisTrialN,istr_loop_practice.thisN,istr_loop_practice.thisIndex,loop_emotion_identication.thisRepN,loop_emotion_identication.thisTrialN,loop_emotion_identication.thisN,loop_emotion_identication.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,random_by_pt_num.thisRepN,random_by_pt_num.thisTrialN,random_by_pt_num.thisN,random_by_pt_num.thisIndex,loop_itr_exp.thisRepN,loop_itr_exp.thisTrialN,loop_itr_exp.thisN,loop_itr_exp.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,wheelresp_angle,wheelresp_cake,wheelresp_norm,wheelresp_emotion,wheelresp_level,Wheelresp.x,Wheelresp.y,Wheelresp.leftButton,Wheelresp.midButton,Wheelresp.rightButton,Wheelresp.time,Wheelresp.clicked_name,Wheelresp.started,Wheelresp.stopped,file_emotion,wheelresp.x,wheelresp.y,wheelresp.leftButton,wheelresp.midButton,wheelresp.rightButton,wheelresp.time,wheelresp.clicked_name,wheelresp.started,wheelresp.stopped,compound_angle,compound_cake,compound_norm,compound_emotion,compound_level,compound.x,compound.y,compound.leftButton,compound.midButton,compound.rightButton,compound.time,compound.clicked_name,compound.started,compound.stopped,kb_end_training.keys,kb_end_training.rt,participant,session,group,age,gender,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,healthy,24,f,18,1,virginia,2022-03-25_13h16.35.388,pilot_AIM1,2022.1.1,84.98304439459399,
DISPREZZO,INVIDIA,,,,,,,,,0,0,0,0,,,,,0,0,0,5,,,,,,,,,,,,,,,,,123.69006752597979,disprezzo,209.1219739769114,Disprezzo,4,[-116.0],[174.0],[1],[0],[0],[15.076290247897703],['Disprezzo_4'],0.011173364556384513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,healthy,24,f,18,1,virginia,2022-03-25_13h16.35.388,pilot_AIM1,2022.1.1,84.98304439459399,
SORPRESA,GIOIA,,,,,,,,,0,0,0,0,,,,,0,1,1,12,,,,,,,,,,,,,,,,,-77.31961650818018,sorpresa,205.0,Sorpresa,4,[45.0],[-200.0],[1],[0],[0],[3.9816981484071334],['Sorpresa_4'],0.011187124384719027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,healthy,24,f,18,1,virginia,2022-03-25_13h16.35.388,pilot_AIM1,2022.1.1,84.98304439459399,
GIOIA,SODDISFAZIONE,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,35.73547601486702,gioia,202.03960007879644,Gioia,4,[164.0],[118.0],[1],[0],[0],[2.064058720547166],['Gioia_4'],0.01119160432881472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,healthy,24,f,18,1,virginia,2022-03-25_13h16.35.388,pilot_AIM1,2022.1.1,84.98304439459399,
INTERESSE,SORPRESA,,,,,,,,,0,0,0,0,,,,,0,3,3,13,,,,,,,,,,,,,,,,,-56.309932474020215,interesse,194.6997688750554,Interesse,4,[108.0],[-162.0],[1],[0],[0],[2.146591450538722],['Interesse_4'],0.01115000484793427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,healthy,24,f,18,1,virginia,2022-03-25_13h16.35.388,pilot_AIM1,2022.1.1,84.98304439459399,
SOLLIEVO,GIOIA,,,,,,,,,0,0,0,0,,,,,0,4,4,15,,,,,,,,,,,,,,,,,-9.125008647935974,soglievo,195.47378340841516,Sollievo,4,[193.0],[-31.0],[1],[0],[0],[1.5698597681500814],['Sollievo_4'],0.011157684752106434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,healthy,24,f,18,1,virginia,2022-03-25_13h16.35.388,pilot_AIM1,2022.1.1,84.98304439459399,
EUFORIA,GIOIA,,,,,,,,,0,0,0,0,,,,,0,5,5,1,,,,,,,,,,,,,,,,,58.98893069625842,euforia,207.68485741623053,Euforia,4,[107.0],[178.0],[1],[0],[0],[1.3698475443026155],['Euforia_4'],0.011167284632279006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,healthy,24,f,18,1,virginia,2022-03-25_13h16.35.388,pilot_AIM1,2022.1.1,84.98304439459399,
ORGOGLIO,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,6,6,3,,,,,,,,,,,,,,,,,81.29777621005321,orgoglio,198.2826265712657,Orgoglio,4,[30.0],[196.0],[1],[0],[0],[1.4993348883005524],['Orgoglio_4'],0.011184244420576306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,healthy,24,f,18,1,virginia,2022-03-25_13h16.35.388,pilot_AIM1,2022.1.1,84.98304439459399,
VERGOGNA,TRISTEZZA,,,,,,,,,0,0,0,0,,,,,0,7,7,9,,,,,,,,,,,,,,,,,-148.26332874340633,vergogna,203.4158302591025,Vergogna,4,[-173.0],[-107.0],[1],[0],[0],[2.064130719648631],['Vergogna_4'],0.011183924424642555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,healthy,24,f,18,1,virginia,2022-03-25_13h16.35.388,pilot_AIM1,2022.1.1,84.98304439459399,
RABBIA,DISPREZZO,,,,,,,,,0,0,0,0,,,,,0,8,8,4,,,,,,,,,,,,,,,,,100.25416467790419,rabbia,202.23006700290637,Rabbia,4,[-36.0],[199.0],[1],[0],[0],[1.7229573774919231],['Rabbia_4'],0.011199924224968072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,healthy,24,f,18,1,virginia,2022-03-25_13h16.35.388,pilot_AIM1,2022.1.1,84.98304439459399,
